1,ANA-2024-00001,1,1,threat_analysis,SQL injection attack from IP 185.220.101.45 targeting login form,THREAT: Critical SQL Injection. Block IP immediately. Use parameterized queries. Reset all database passwords.,95,3,2026-05-15 19:54:47.810
2,ANA-2024-00002,3,2,threat_analysis,Mass phishing emails targeting Jazz customers with fake login pages,THREAT: Organized phishing campaign. Report domain for takedown. Alert customers. Enable 2FA.,88,4,2026-05-15 19:54:47.810
3,ANA-2024-00003,5,3,threat_analysis,WannaCry ransomware encrypting FBR server files,THREAT: Critical ransomware. Isolate servers NOW. Do not pay ransom. Restore from backup. Patch MS17-010.,97,5,2026-05-15 19:54:47.810
4,ANA-2024-00004,1,1,case_summary,Case CASE-2024-00001: SQL injection on HBL Bank. 2 incidents. Evidence collected.,SUMMARY: Sophisticated attacker using Tor. SQL injection then data exfiltration. Escalate to FIA Cybercrime Wing.,92,1,2026-05-15 19:54:47.810
5,ANA-2024-00005,8,5,threat_analysis,DDoS attack sending 50000 requests per second to Punjab Police website,THREAT: Large DDoS botnet. Enable Cloudflare protection. Rate limit connections. Contact ISP for upstream blocking.,85,7,2026-05-15 19:54:47.810
6,ANA-2024-00006,10,7,threat_analysis,Brute force attack attempting 5000 logins per minute on MCB banking,THREAT: Credential stuffing attack. Implement CAPTCHA. Lock after 5 attempts. Block IP range. Enable 2FA.,91,4,2026-05-15 19:54:47.810
7,ANA-2024-00007,12,8,threat_analysis,Trojan malware found on 15 government computers spreading through USB,THREAT: USB-spread Trojan with keylogger. Disable USB ports. Run full scan. Change all passwords.,87,5,2026-05-15 19:54:47.810
8,ANA-2024-00008,15,11,threat_analysis,Spear phishing email with malicious PDF targeting minister office,THREAT: APT-level attack. State sponsored suspected. Isolate systems. Notify national cybersecurity authority.,96,8,2026-05-15 19:54:47.810
9,ANA-2024-00009,17,12,threat_analysis,Zero day exploit used against Apache 2.4 gaining root access,THREAT: Critical zero day. Take server offline immediately. Report to Apache team. Check all other servers.,98,9,2026-05-15 19:54:47.810
10,ANA-2024-00010,7,4,case_summary,CASE-2024-00004: Insider threat at NADRA. Ahmed Raza accessed restricted database.,SUMMARY: Confirmed insider threat. Strong evidence. Suspend employee. Legal action under PECA 2016.,93,6,2026-05-15 19:54:47.810
11,ANA-2024-00011,14,10,threat_analysis,Cryptojacking mining software XMRig on university servers,THREAT: Cryptomining malware. Remove XMRig. Patch WordPress. Monitor CPU. Scan all servers.,82,7,2026-05-15 19:54:47.810
12,ANA-2024-00012,18,13,threat_analysis,Bank employee copying customer data to USB drive after hours,THREAT: Insider data theft confirmed. CCTV and USB evidence strong. Suspend employee. File FIR under PECA.,94,3,2026-05-15 19:54:47.810
13,ANA-2024-00013,3,2,risk_score,Assess risk score for phishing group targeting Jazz customers,"RISK: Score 80/100. Organized group, multi-country operation, bulletproof hosting. High repeat attack probability.",86,4,2026-05-15 19:54:47.810
14,ANA-2024-00014,19,14,threat_analysis,Botnet of 2000 infected machines sending spam through ISP,THREAT: Active botnet on ISP. Notify infected customers. Block C2 servers. Coordinate with international CERTs.,83,4,2026-05-15 19:54:47.810
15,ANA-2024-00015,20,15,threat_analysis,Identity theft ring using stolen CNICs to open fake bank accounts,THREAT: Organized financial crime. Alert all banks. Share suspects with NADRA. Coordinate with FIA.,89,5,2026-05-15 19:54:47.810
