1,EVD-2024-00001,1,Log File,Apache access log showing SQL injection attempts,a3f5c2d1e4b6a7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1,3,2026-05-15 19:54:47.750,1
2,EVD-2024-00002,1,Screenshot,Screenshot of attacker database dump output,b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4,3,2026-05-15 19:54:47.750,1
3,EVD-2024-00003,2,Email Sample,Phishing email with malicious link collected,c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5,4,2026-05-15 19:54:47.750,1
4,EVD-2024-00004,3,Malware Sample,WannaCry ransomware binary file collected,d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6,5,2026-05-15 19:54:47.750,1
5,EVD-2024-00005,3,Network Dump,Wireshark capture of ransomware network traffic,e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7,5,2026-05-15 19:54:47.750,1
6,EVD-2024-00006,4,Access Log,Database access log showing unauthorized queries,f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8,6,2026-05-15 19:54:47.750,1
7,EVD-2024-00007,5,Server Log,Web server log showing DDoS traffic pattern,a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,7,2026-05-15 19:54:47.750,1
8,EVD-2024-00008,6,Dark Web Screenshot,Screenshot of data listing on dark web forum,b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,3,2026-05-15 19:54:47.750,0
9,EVD-2024-00009,7,Firewall Log,Firewall log showing blocked brute force IPs,c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1,4,2026-05-15 19:54:47.750,1
10,EVD-2024-00010,8,Malware Sample,Trojan horse executable collected from infected PC,d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2,5,2026-05-15 19:54:47.750,1
11,EVD-2024-00011,9,Call Recording,Phone call recording of social engineering attempt,e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,6,2026-05-15 19:54:47.750,0
12,EVD-2024-00012,10,Process List,Running process list showing cryptominer activity,f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4,7,2026-05-15 19:54:47.750,1
13,EVD-2024-00013,11,Email Header,Full email header analysis of spear phishing email,a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,8,2026-05-15 19:54:47.750,1
14,EVD-2024-00014,11,Malware Sample,Backdoor malware downloaded by phishing email macro,b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6,8,2026-05-15 19:54:47.750,0
15,EVD-2024-00015,12,Exploit Code,Zero day exploit code recovered from server memory,c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7,9,2026-05-15 19:54:47.750,1
16,EVD-2024-00016,13,CCTV Footage,CCTV recording of employee copying files to USB,d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8,3,2026-05-15 19:54:47.750,1
17,EVD-2024-00017,13,USB Image,Forensic image of USB drive containing stolen data,e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9,3,2026-05-15 19:54:47.750,1
18,EVD-2024-00018,14,Network Log,ISP network log showing botnet command traffic,f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0,4,2026-05-15 19:54:47.750,0
19,EVD-2024-00019,15,Bank Records,Fraudulent bank account opening documents,a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1,5,2026-05-15 19:54:47.750,1
20,EVD-2024-00020,6,Memory Dump,RAM dump from compromised Telenor server,b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2,3,2026-05-15 19:54:47.750,0
